               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  44,              0.0507,             0.12808,            0.076586,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083558,           0.0083558,            0.018456
                  45,             0.05238,             0.11774,            0.074187,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008527,            0.008527,            0.016627
                  46,            0.050235,             0.11301,            0.076606,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086975,           0.0086975,            0.014798
                  47,             0.04825,             0.12011,            0.077676,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088674,           0.0088674,            0.012967
                  48,            0.052034,             0.11879,            0.077497,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090366,           0.0090366,            0.011137
                  49,            0.052846,             0.13559,            0.077482,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092052,           0.0092052,           0.0093052
                  50,            0.053121,              0.1229,            0.080438,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091984,           0.0091984,           0.0091984
                  51,            0.051672,             0.13167,            0.079135,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091984,           0.0091984,           0.0091984
                  52,            0.050153,             0.12269,            0.079605,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091824,           0.0091824,           0.0091824
                  53,            0.047696,             0.13639,            0.077902,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091663,           0.0091663,           0.0091663
                  54,            0.053673,             0.13213,            0.079746,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091503,           0.0091503,           0.0091503
                  55,            0.049826,             0.12211,            0.077714,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091343,           0.0091343,           0.0091343
                  56,             0.04894,             0.11854,            0.076769,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091182,           0.0091182,           0.0091182
                  57,            0.046227,             0.11175,            0.074588,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091022,           0.0091022,           0.0091022
                  58,            0.043969,             0.11521,             0.07331,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090862,           0.0090862,           0.0090862
